,UID,name,rating,brewery,style,abv
279,729,Brutylicious,3.85,North by Northwest Restaurant & Brewery,American Brut IPA,6.10
280,729,Buried Hatchet - Chocolate Orange,3.74,Southern Star Brewing Company,American Imperial Stout,?
281,729,Buried Hatchet - Irish Cream,3.36,Southern Star Brewing Company,American Imperial Stout,?
282,729,Buried Hatchet - Red Velvet Cake,4.08,Southern Star Brewing Company,American Imperial Stout,?
283,729,Buried Hatchet - S'mores,3.25,Southern Star Brewing Company,American Imperial Stout,?
284,15,Candied Pecan Porter,3.75,Spoetzl Brewery / Shiner,American Porter,6.00
285,3,Curmudgeon's Better Half,8.5,Founders Brewing Company,English Old Ale,12.70
286,729,Dapper Devil,3.85,Blue Owl Brewing,Belgian Strong Pale Ale,8.90
287,20,Delirium Noël,3.51,Brouwerij Huyghe,Belgian Strong Dark Ale,10.00
288,454,Divine Reserve #19,3.94,Saint Arnold Brewing Company,British Barleywine,10.40
289,5,Double Dunk,8.6,Prairie Artisan Ales,American Imperial Stout,11.90
290,630,Fimbulvvinter,4.09,Avery Brewing Company,Belgian Quadrupel (Quad),16.90
291,128,Firestone 20 - Anniversary Ale,4.31,Firestone Walker Brewing Co.,American Strong Ale,13.00
292,1,Fresh Squeezed IPA,3.69,Deschutes Brewery,American IPA,6.40
293,4,Fuller's Vintage Ale,8.58,Fuller Smith & Turner PLC,English Old Ale,8.50
294,51,Game Of Thrones: Hand Of The Queen,4.0,Brewery Ommegang,British Barleywine,10.70
295,51,Game Of Thrones: Mother Of Dragons,3.98,Brewery Ommegang,Smoke Porter,6.50
296,15,Game Of Thrones: Queen Of The Seven Kingdoms,4.0,Brewery Ommegang,Belgian Blonde Ale ,6.40
297,119,Gladius,3.0,Save The World Brewing Company,Belgian Dubbel,?
298,729,Grand Cru MMXVII Belgian Quad,3.45,Strange Land Brewery,Belgian Quadrupel (Quad),8.70
299,729,Grande Réserve Barrel Aged,4.35,Bières de Chimay,Belgian Strong Dark Ale,10.00
300,729,Gulden Draak Barrel Aged Calvados,4.35,Brouwerij Van Steenberge N.V.,Belgian Quadrupel (Quad),10.50
301,133,Haze County,3.75,Hops and Grain Brewery,American Imperial IPA,8.20
302,729,J.W. Lees Harvest Ale (Port Cask),4.38,J.W. Lees & Co (Brewers) Ltd,British Barleywine,11.50
303,729,Lux Mundi,4.27,Save The World Brewing Company,Belgian Pale Ale,5.80
304,51,Maduro Brown Ale,4.0,Cigar City Brewing,English Brown Ale,5.50
305,729,Man O' War,4.29,Pinthouse Pizza Craft Brewpub,American IPA,6.50
306,729,Marzen Style Ale,3.92,Spoetzl Brewery / Shiner,German Märzen / Oktoberfest,11.00
307,729,Montecore Oktoberfest,4.15,Austin Beerworks,German Märzen / Oktoberfest,6.00
